Tag;Texto;Tipo;Side;Time;CheckTime;IsButton
wagner1_0;Muy bien.;0;0;0;false;None
wagner1_1;Pero no estás aquí para jugar. Se supone que estamos trabajando.;0;0;0;false;None
wagner1_2;respuesta1-Confiado-Servicial;2;1;0;false;None
respuesta1_1_0;Quería ver qué tal se me daba.;0;1;0;false;None
respuesta1_1_1;En tu contrato pone “Betatester”, no jugador profesional.;0;0;0;false;None
respuesta1_2_0;Lo siento señor Wagner.;0;1;0;false;None
respuesta1_2_1;Te pagamos para hacer de Betatester, asi que ponte las pilas.;0;0;0;false;None
wagner1_3;Ya le daremos una vuelta al nivel uno más adelante. El equipo de desarrollo necesita que los betatesters reviséis el nivel dos.;0;0;0;false;None
wagner1_4;Ahora a buscar bugs.;0;0;0;false;None
wagner1_5;Ah, y estoy viendo tu pantalla en todo momento. A partir de ahora comunicaré los fallos que encuentres de forma automática. Tu concentrate en buscar bien a fondo.;0;0;0;false;None
wagner1_6;También, como has visto, te puedo pausar el juego cuando quiera para que me escuches.;0;0;0;false;None
wagner1_7;Si quieres puedes pausarlo tú también para revisar tus mensajes. Se hace pulsando la tecla ""Esc""";0;0;0;false;None
wagner1_8;Ahora sí, a buscar bugs.;0;0;0;false;None
cole1_0;¿te echas una partida?;0;0;0;false;None
cole1_1;No puedo.;0;1;0;false;None
cole1_2;Estoy trabajando.;0;1;0;false;None
cole1_3;Siempre igual. ¿En qué andas?;0;0;0;false;None
cole1_4;De betatester. En Pandemonium.;0;1;0;false;None
cole1_5;¿Esa no es la empresa aquella de los 90? ¿No había quebrado? Hacía mucho que no oía hablar de ella lol.;0;0;0;false;None
cole1_6;Pues están de vuelta parece ser. Aunque imagino que no será la misma gente.;0;1;0;false;None
cole1_7;Ni idea;0;0;0;false;None
cole1_8;Pero en estos casos los peces gordos suelen seguir en el ajo.;0;0;0;false;None
cole1_9;En fin, te dejo currar. ;0;0;0;false;None
cole1_10;sticker_pana;1;0;0;false;None
cole1_11;A ver si se te pega algo.;0;1;0;false;None
cole1_12;Estoy esperando a mi oportunidad, tio, me lo tomo con calma, ¿vale?;0;0;0;false;None
cole1_13;Claro…;0;1;0;false;None
wagner2_0;Ignora eso. ;0;0;0;false;None
wagner2_1;A veces los desarrolladores dejan notitas en el código o hablan entre ellos.;0;0;0;false;None
wagner2_2;No me entra en la cabeza…;0;0;0;false;None
wagner2_3;Verás como se entere Truman.;0;0;0;false;None
wagner3_0;Vale, buen trabajo.;0;0;0;false;None
wagner3_1;A los del desarrollo no les va a hacer mucha gracia ese bug. Imagino que algún tipo de pared invisible ha bloqueado las balas de los cañones.;0;0;0;false;None
wagner3_2;¿Sigo jugando?;0;1;0;false;None
wagner3_3;No, de hecho el equipo me ha pedido que pruebes algo diferente.;0;0;0;false;None
wagner3_4;Un juego antiguo, de los 90, que nunca llegamos a sacar. Se llama “life is a highway im gonna ride it all night long (all night long)”.;0;0;0;false;None
wagner3_5;¿Para qué? No creo que haya envejecido muy bien;0;1;0;false;None
wagner3_6;Chaval, deberías estar agradecido por poder probar una joya así. Los coleccionistas se matarían por esto.;0;0;0;false;None
wagner3_7;El equipo quiere sacar información de la versión original de nuestro motor.;0;0;0;false;None
wagner3_8;¿Y no puedo probar un juego terminado?;0;1;0;false;None
wagner3_9;Así te acostumbras a los bugs.;0;0;0;false;None
wagner3_10;Toy racing.exe;0;0;0;false;Scene
wagner4_0;Vale, siguiente.;0;0;0;false;None
wagner4_1;¿No necesitas que busque bugs más a fondo?;0;1;0;false;None
wagner4_2;No, sigue por ahora. Los niveles importantes no son estos.;0;0;0;false;None
wagner4_3;En el menú solo aparecen tres niveles, pero realmente hay más.;0;0;0;false;None
